date,nc,coc,benefit
2020-01-01,317.85140374004453,10,2
2020-02-01,407.7209340973841,8,2
2020-03-01,419.17153640317986,9,2
2020-04-01,416.5991923541284,1,2
2020-05-01,382.3225014167597,13,2
2020-06-01,364.3367627142742,8,2
2020-07-01,413.53386542248626,12,2
2020-08-01,515.3739580851609,7,2
2020-09-01,440.17451448446985,6,2
2020-10-01,367.5230995431541,5,2
2020-11-01,356.34327294967215,13,2
2020-12-01,410.5097760941887,7,2
2021-01-01,380.82695871338296,5,2
2021-02-01,214.71683365224166,10,2
2021-03-01,382.8265230112784,6,2
2021-04-01,433.8671311274198,11,2
2021-05-01,245.4455280922423,5,2
2021-06-01,311.98364199832776,3,2
2021-07-01,413.4737957718231,9,2
2021-08-01,576.858210986311,10,2
2021-09-01,279.0296292177902,2,2
2021-10-01,281.0708873985603,8,2
2021-11-01,347.6301082067166,9,2
2021-12-01,437.8393751756775,12,2
2022-01-01,471.94201129216697,1,2
2022-02-01,497.3538810132393,3,2
2022-03-01,350.3371088099342,11,2
2022-04-01,398.02633316539254,3,2
2022-05-01,515.0453112398384,10,2
2022-06-01,460.1552237643052,1,2
2022-07-01,426.97524500289506,6,2
2022-08-01,526.5930765129926,8,2
2022-09-01,511.19105585848536,10,2
2022-10-01,546.6314325428402,1,2
2022-11-01,256.3741987703916,9,2
2022-12-01,503.0231444822652,9,2
2023-01-01,333.4311577614178,4,2
2023-02-01,658.0214502458095,1,2
2023-03-01,456.3179311921296,9,2
2023-04-01,686.6012717062156,6,2
2023-05-01,362.3346085633397,2,2
2023-06-01,371.9133789938679,5,2
2023-07-01,601.1258899517736,13,2
2023-08-01,350.8536461474282,11,2
2023-09-01,679.9968263201341,9,2
2023-10-01,545.8479558225963,6,2
2023-11-01,581.8195309052039,6,2
2023-12-01,521.733157911758,8,2
2024-01-01,423.8733098378696,7,2
2024-02-01,338.6680200415721,2,2
2024-03-01,536.9074233435907,3,2
2024-04-01,600.5822451155989,7,2
2024-05-01,781.1377290860133,3,2
2024-06-01,486.62057817701526,3,2
2024-07-01,633.494310428789,5,2
2024-08-01,814.3605511465646,10,2
2024-09-01,623.4029046953699,11,2
2024-10-01,364.721757241897,13,2
2024-11-01,612.3696817820255,11,2
2024-12-01,800.1641803651564,13,2
2025-01-01,297.16439395830514,9,2
